STATEMENT_LABEL,STATEMENT_NUMBER,MONTH_LABEL,MONTH_OFFSET,DAYS_START,DAYS_END,PIE_TOTAL_COUNT,PIE_INCOME_COLLECTED_BY_MONTH,PIE_INCOME_COLLECTION_RATE_PCT,NEW_INCOME_COLLECTIONS_THIS_MONTH
Stmt 18,18,1,0,0,30,905,599,66.2,599
Stmt 18,18,2,1,30,60,905,657,72.6,58
Stmt 18,18,3,2,60,90,905,689,76.1,32
Stmt 18,18,4,3,90,120,905,710,78.5,21
Stmt 18,18,5,4,120,150,905,726,80.2,16
Stmt 18,18,6,5,150,180,905,743,82.1,17
Stmt 18,18,7,6,180,210,905,753,83.2,10
Stmt 18,18,8,7,210,240,905,758,83.8,5
Stmt 26,26,1,0,0,30,140,38,27.1,38
Stmt 26,26,2,1,30,60,140,46,32.9,8
Stmt 26,26,3,2,60,90,140,55,39.3,9
Stmt 26,26,4,3,90,120,140,65,46.4,10
Stmt 26,26,5,4,120,150,140,66,47.1,1
Stmt 26,26,6,5,150,180,140,68,48.6,2
Stmt 26,26,7,6,180,210,140,72,51.4,4
Stmt 26,26,8,7,210,240,140,77,55.0,5
Stmt 34,34,1,0,0,30,206,92,44.7,92
Stmt 34,34,2,1,30,60,206,101,49.0,9
Stmt 34,34,3,2,60,90,206,107,51.9,6
Stmt 34,34,4,3,90,120,206,115,55.8,8
Stmt 34,34,5,4,120,150,206,123,59.7,8
Stmt 34,34,6,5,150,180,206,128,62.1,5
Stmt 34,34,7,6,180,210,206,132,64.1,4
Stmt 34,34,8,7,210,240,206,132,64.1,0
Stmt 42,42,1,0,0,30,137,36,26.3,36
Stmt 42,42,2,1,30,60,137,47,34.3,11
Stmt 42,42,3,2,60,90,137,58,42.3,11
Stmt 42,42,4,3,90,120,137,65,47.4,7
Stmt 42,42,5,4,120,150,137,69,50.4,4
Stmt 42,42,6,5,150,180,137,72,52.6,3
Stmt 42,42,7,6,180,210,137,78,56.9,6
Stmt 42,42,8,7,210,240,137,79,57.7,1
Overall Stmt 18+,999,1,0,0,30,9589,3403,35.5,3403
Overall Stmt 18+,999,2,1,30,60,9589,4015,41.9,612
Overall Stmt 18+,999,3,2,60,90,9589,4462,46.5,447
Overall Stmt 18+,999,4,3,90,120,9589,4798,50.0,336
Overall Stmt 18+,999,5,4,120,150,9589,5071,52.9,273
Overall Stmt 18+,999,6,5,150,180,9589,5268,54.9,197
Overall Stmt 18+,999,7,6,180,210,9589,5466,57.0,198
Overall Stmt 18+,999,8,7,210,240,9589,5627,58.7,161
