STATEMENT_LABEL,STATEMENT_NUMBER,MONTH_OFFSET,TOTAL_POPULATION,APPROVED_OUTRIGHT_COUNT,PIE_TOTAL_COUNT,PIE_INCOME_COLLECTED_BY_MONTH,SUCCESS_COUNT,SUCCESS_RATE_PCT,PIE_INCOME_COLLECTION_RATE_PCT,NEW_INCOME_COLLECTIONS_THIS_MONTH,MONTH_LABEL
Stmt 18,18,0,2877,1972,905,599,2571,89.4,66.2,599,1
Stmt 18,18,1,2877,1972,905,657,2629,91.4,72.6,58,2
Stmt 18,18,2,2877,1972,905,689,2661,92.5,76.1,32,3
Stmt 18,18,3,2877,1972,905,710,2682,93.2,78.5,21,4
Stmt 18,18,4,2877,1972,905,726,2698,93.8,80.2,16,5
Stmt 18,18,5,2877,1972,905,743,2715,94.4,82.1,17,6
Stmt 18,18,6,2877,1972,905,753,2725,94.7,83.2,10,7
Stmt 18,18,7,2877,1972,905,758,2730,94.9,83.8,5,8
Stmt 26,26,0,803,663,140,38,701,87.3,27.1,38,1
Stmt 26,26,1,803,663,140,46,709,88.3,32.9,8,2
Stmt 26,26,2,803,663,140,55,718,89.4,39.3,9,3
Stmt 26,26,3,803,663,140,65,728,90.7,46.4,10,4
Stmt 26,26,4,803,663,140,66,729,90.8,47.1,1,5
Stmt 26,26,5,803,663,140,68,731,91.0,48.6,2,6
Stmt 26,26,6,803,663,140,72,735,91.5,51.4,4,7
Stmt 26,26,7,803,663,140,77,740,92.2,55.0,5,8
Stmt 34,34,0,652,446,206,92,538,82.5,44.7,92,1
Stmt 34,34,1,652,446,206,101,547,83.9,49.0,9,2
Stmt 34,34,2,652,446,206,107,553,84.8,51.9,6,3
Stmt 34,34,3,652,446,206,115,561,86.0,55.8,8,4
Stmt 34,34,4,652,446,206,123,569,87.3,59.7,8,5
Stmt 34,34,5,652,446,206,128,574,88.0,62.1,5,6
Stmt 34,34,6,652,446,206,132,578,88.7,64.1,4,7
Stmt 34,34,7,652,446,206,132,578,88.7,64.1,0,8
Stmt 42,42,0,459,322,137,36,358,78.0,26.3,36,1
Stmt 42,42,1,459,322,137,47,369,80.4,34.3,11,2
Stmt 42,42,2,459,322,137,58,380,82.8,42.3,11,3
Stmt 42,42,3,459,322,137,65,387,84.3,47.4,7,4
Stmt 42,42,4,459,322,137,69,391,85.2,50.4,4,5
Stmt 42,42,5,459,322,137,72,394,85.8,52.6,3,6
Stmt 42,42,6,459,322,137,78,400,87.1,56.9,6,7
Stmt 42,42,7,459,322,137,79,401,87.4,57.7,1,8
Stmt 42+,442,0,9557,6111,3446,1023,7134,74.6,29.7,1023,1
Stmt 42+,442,1,9557,6111,3446,1215,7326,76.7,35.3,192,2
Stmt 42+,442,2,9557,6111,3446,1359,7470,78.2,39.4,144,3
Stmt 42+,442,3,9557,6111,3446,1482,7593,79.4,43.0,123,4
Stmt 42+,442,4,9557,6111,3446,1572,7683,80.4,45.6,90,5
Stmt 42+,442,5,9557,6111,3446,1636,7747,81.1,47.5,64,6
Stmt 42+,442,6,9557,6111,3446,1718,7829,81.9,49.9,82,7
Stmt 42+,442,7,9557,6111,3446,1768,7879,82.4,51.3,50,8
Overall Stmt 18+,999,0,28520,18931,9589,3403,22334,78.3,35.5,3403,1
Overall Stmt 18+,999,1,28520,18931,9589,4015,22946,80.5,41.9,612,2
Overall Stmt 18+,999,2,28520,18931,9589,4462,23393,82.0,46.5,447,3
Overall Stmt 18+,999,3,28520,18931,9589,4798,23729,83.2,50.0,336,4
Overall Stmt 18+,999,4,28520,18931,9589,5071,24002,84.2,52.9,273,5
Overall Stmt 18+,999,5,28520,18931,9589,5268,24199,84.8,54.9,197,6
Overall Stmt 18+,999,6,28520,18931,9589,5466,24397,85.5,57.0,198,7
Overall Stmt 18+,999,7,28520,18931,9589,5627,24558,86.1,58.7,161,8
